year,manufacturer,make,make/model,thefts,production,rate,type,horsepower,reliability,price
2005,GENERAL MOTORS,CHEVROLET,MALIBU,908,212400,4.27,Car,0,0,0
2011,MITSUBISHI,MITSUBISHI,galant,71,0,4.24,Car,160,82,9000
2008,CHRYSLER,DODGE,CALIBER,387,91288,4.24,Car,172,70,4500
2007,CHRYSLER,CHRYSLER,PT CRUISER,443,104546,4.24,MPV,0,0,0
2014,NISSAN,INFINITI,QX70,16,3776,4.24,MPV,325,78,25000
2004,DAIMLERCHRYSLER,DODGE,NEON,498,117601,4.23,Car,230,75,5000
2006,GENERAL MOTORS,PONTIAC,G6,716,170394,4.2,Car,0,0,0
2006,MITSUBISHI,MITSUBISHI,galant,118,28101,4.2,Car,160,75,3000
2004,MITSUBISHI,MITSUBISHI,eclipse,74,17682,4.19,Car,210,75,5000
2006,GENERAL MOTORS,CHEVROLET,MALIBU,740,177262,4.17,Car,0,0,0
2008,MAZDA,MAZDA,6,182,44114,4.13,Car,212,87,6000
2004,NISSAN,NISSAN,sentra,504,122208,4.12,Car,126,80,5000
2006,SUZUKI,SUZUKI,forenza,175,42550,4.11,Car,126,80,2500
2005,TOYOTA,TOYOTA,echo,43,10540,4.08,Car,108,86,5000
2006,FORD MOTOR CO,FORD,TAURUS,638,156882,4.07,Car,203,76,3500
2014,CHRYSLER,CHRYSLER,200,241,59627,4.04,Car,283,75,12000
2005,GENERAL MOTORS,PONTIAC,GRAND AM,248,61502,4.03,Car,170,70,3000
2005,TOYOTA,LEXUS,GS,12,3004,3.99,Car,245,85,8000
2004,FORD MOTOR CO,FORD,MUSTANG,541,135734,3.99,Car,210,80,9000
2004,NISSAN,INFINITI,Q45,4,1006,3.98,Car,280,79,5000
2006,GENERAL MOTORS,CHEVROLET,IMPALA,1044,262823,3.97,Car,211,78,4500
2012,NISSAN,INFINITI,FX35/FX50,35,8902,3.93,MPV,303,78,25000
2009,MERCEDES-BENZ,MERCEDES-BENZ,cl-class,5,1278,3.91,Car,382,80,35000
2007,SUZUKI,SUZUKI,forenza,133,34236,3.88,Car,126,72,4000
2011,GENERAL MOTORS,CADILLAC,STS,18,0,3.88,Car,302,80,11000
2008,CHRYSLER,CHRYSLER,PT CRUISER,254,65485,3.88,MPV,0,0,0
2013,BMW,BMW,m6,5,1290,3.88,Car,560,75,60000
2011,LAMBORGHINI,LAMBORGHINI,gallardo,1,259,3.86,Car,562,80,190000
2004,KIA,KIA,rio,145,37599,3.86,Car,110,78,5000
2012,CHRYSLER,DODGE,AVENGER,329,85365,3.85,Car,173,82,6000
2008,CHRYSLER,CHRYSLER,SEBRING CONVERTIBLE,177,45930,3.85,Car,235,75,6000
2010,GENERAL MOTORS,CHEVROLET,IMPALA,579,150391,3.85,Car,211,80,9000
2004,DAIMLERCHRYSLER,CHRYSLER,SEBRING CONVERTIBLE,248,64442,3.85,Car,0,0,0
2012,CHRYSLER,CHRYSLER,300,232,60287,3.85,Car,292,85,15000
2004,MITSUBISHI,MITSUBISHI,galant,165,42902,3.85,Car,160,74,5000
2008,HONDA,HONDA,s2000,10,2606,3.84,Car,237,88,15000
2007,GENERAL MOTORS,PONTIAC,G6,629,164306,3.83,Car,219,61,3000
2007,GENERAL MOTORS,CHEVROLET,MALIBU,487,127718,3.81,Car,219,80,5000
2007,MITSUBISHI,MITSUBISHI,galant,103,27141,3.8,Car,230,79,5000
2005,NISSAN,INFINITI,FX45,7,1850,3.78,MPV,315,78,6000
2013,GENERAL MOTORS,CHEVROLET,CAPTIVA,134,35894,3.73,MPV,180,80,12000
2009,CHRYSLER,CHRYSLER,SEBRING CONVERTIBLE,18,4827,3.73,Car,235,70,8000
2004,GENERAL MOTORS,PONTIAC,GRAND AM,639,171925,3.72,Car,175,70,5000
2005,SUZUKI,SUZUKI,forenza,129,34718,3.72,Car,126,74,4000
2013,NISSAN,NISSAN,maxima,166,44854,3.7,Car,290,80,12000
2013,BMW,BMW,m5,12,3261,3.68,Car,560,70,50000
2006,GENERAL MOTORS,CHEVROLET,COBALT,844,229576,3.68,Car,145,82,5000
2006,NISSAN,NISSAN,sentra,500,136351,3.67,Car,126,80,5000
2005,GENERAL MOTORS,CHEVROLET,CAVALIER,351,95838,3.66,Car,140,80,3500
2012,GENERAL MOTORS,CHEVROLET,IMPALA,604,165986,3.64,Car,300,80,12000
2004,HYUNDAI,HYUNDAI,accent,155,42863,3.62,Car,110,70,3000
2005,HONDA,ACURA,RSX,69,19135,3.61,Car,155,80,5000
2012,MITSUBISHI,MITSUBISHI,galant,67,18600,3.6,Car,160,79,10000
2005,KIA,KIA,spectra,191,53027,3.6,Car,126,82,5000
2005,HONDA,HONDA,s2000,32,8921,3.59,Car,240,90,13000
2007,MAZDA,MAZDA,6,201,56178,3.58,Car,212,85,7000
2006,KIA,KIA,amanti,29,8133,3.57,Car,264,82,4500
2008,GENERAL MOTORS,PONTIAC,G6,549,154317,3.56,Car,219,72,7000
2006,HYUNDAI,HYUNDAI,sonata,605,170783,3.54,Car,162,90,3500
2010,CHRYSLER,CHRYSLER,300,185,52261,3.54,Car,178,74,10000
2006,MERCEDES-BENZ,MERCEDES-BENZ,215 (cl-class),79,22411,3.53,Car,362,60,41000
2012,GENERAL MOTORS,CHEVROLET,CAPTIVA,112,31797,3.52,MPV,182,78,15000
2013,CHRYSLER,DODGE,AVENGER,396,112843,3.51,Car,283,75,12000
2014,TOYOTA,TOYOTA,yaris,86,24524,3.51,Car,106,86,14000
2011,HYUNDAI,HYUNDAI,accent,106,0,3.51,Car,110,88,5000
2006,MITSUBISHI,MITSUBISHI,endeavor,51,14546,3.51,MPV,225,90,5000
2006,SUZUKI,SUZUKI,verona,7,2000,3.5,Car,155,73,4500
2006,HONDA,HONDA,civic,362,103981,3.48,Car,140,85,8000
2008,LAMBORGHINI,LAMBORGHINI,murcielago,1,288,3.47,Car,631,70,175000
2006,DAIMLERCHRYSLER,CHRYSLER,PT CRUISER,457,131960,3.46,Car,150,75,3500
2005,MASERATI,MASERATI,spyder/f1,1,289,3.46,Car,385,60,50000
2005,GENERAL MOTORS,PONTIAC,SUNFIRE,132,38239,3.45,Car,140,82,2500
2011,GENERAL MOTORS,CHEVROLET,IMPALA,591,0,3.43,Car,230,76,8000
2006,DAIMLERCHRYSLER,JEEP,GRAND CHEROKEE,303,88383,3.43,MPV,0,0,0
2008,NISSAN,INFINITI,FX35,52,15179,3.43,MPV,275,85,10000
2006,BMW,BMW,m3,15,4394,3.41,Car,414,75,20000
2006,FORD MOTOR CO,LINCOLN,LS,29,8499,3.41,Car,280,75,5000
2005,DAIMLERCHRYSLER,CHRYSLER,SEBRING CONVERTIBLE,114,33498,3.4,Car,0,0,0
2008,NISSAN,NISSAN,maxima,131,38602,3.39,Car,255,84,7000
2012,BMW,BMW,6,19,5609,3.39,Car,315,79,30000
2009,CHRYSLER,DODGE,AVENGER,107,31667,3.38,Car,173,79,4500
2013,CHRYSLER,CHRYSLER,300,210,62182,3.38,Car,292,75,15000
2011,GENERAL MOTORS,CHEVROLET,HHR,230,0,3.36,MPV,172,75,8000
2008,ISUZU,ISUZU,i series pickup,10,2977,3.36,Truck,215,80,12000
2013,PORSCHE,PORSCHE,panamera,20,5957,3.36,Car,310,77,40000
2011,GENERAL MOTORS,CHEVROLET,AVEO,142,0,3.35,Car,108,65,9000
2014,GENERAL MOTORS,CHEVROLET,IMPALA,623,186586,3.34,Car,305,86,21000
2008,MITSUBISHI,MITSUBISHI,eclipse,70,21046,3.33,Car,263,80,9000
2012,CHRYSLER,DODGE,CHALLENGER,143,43080,3.32,Car,470,77,20000
2009,CHRYSLER,CHRYSLER,SEBRING,65,19588,3.32,Car,173,70,5000
2009,AUDI,AUDI,A8,6,1810,3.31,Car,350,85,20000
2008,NISSAN,NISSAN,350z,41,12373,3.31,Car,306,78,12000
2014,GENERAL MOTORS,CHEVROLET,CAMARO,295,89358,3.3,Car,426,80,23000
2006,NISSAN,NISSAN,maxima,210,63663,3.3,Car,265,77,5000
2005,TOYOTA,TOYOTA,mr2 spyder,3,912,3.29,Car,140,85,14000
2014,CHRYSLER,DODGE,CHALLENGER,167,50811,3.29,Car,470,72,26000
2013,MERCEDES-BENZ,MERCEDES-BENZ,s-class,42,12782,3.29,Car,0,0,0
2004,MITSUBISHI,MITSUBISHI,lancer,140,42776,3.27,Car,160,80,4000
2006,NISSAN,NISSAN,350z,100,30640,3.26,Car,300,80,10000
2005,SUZUKI,VITARA,GRAND VITARA,81,24824,3.26,MPV,185,75,5000
2007,CHRYSLER,CHRYSLER,PACIFICA,197,60392,3.26,MPV,250,80,7000
2007,GENERAL MOTORS,CHEVROLET,COBALT,703,215663,3.26,Car,148,78,5000
2007,FORD MOTOR CO,FORD,MUSTANG,518,159345,3.25,Car,300,80,10000
2008,BMW,BMW,m6,5,1547,3.23,Car,500,70,25000
2007,FORD MOTOR CO,LINCOLN,TOWN CAR,114,35281,3.23,Car,239,82,30000
2014,CHRYSLER,DODGE,AVENGER,220,68355,3.22,Car,283,70,15500
2006,FORD MOTOR CO,FORD,FOCUS,436,135929,3.21,Car,136,75,2500
2010,NISSAN,INFINITI,FX35,30,9385,3.2,MPV,303,78,12000
2006,FORD MOTOR CO,FORD,crown victoria,35,10955,3.19,Car,224,78,5000
2007,CHRYSLER,DODGE,CALIBER,560,175537,3.19,Car,172,74,4000
2008,SUZUKI,SUZUKI,xl7,78,24555,3.18,MPV,252,75,7000
2004,MITSUBISHI,MITSUBISHI,endeavor,177,56030,3.16,MPV,225,79,5000
2006,HYUNDAI,HYUNDAI,accent,59,18685,3.16,Car,110,80,5000
2005,TOYOTA,LEXUS,IS,20,6343,3.15,Car,215,88,8000
2010,MITSUBISHI,MITSUBISHI,galant,38,12053,3.15,Car,160,75,8000
2004,GENERAL MOTORS,PONTIAC,SUNFIRE,114,36176,3.15,Car,140,70,5000
2005,DAIMLERCHRYSLER,CHRYSLER,300,499,158545,3.15,Car,250,80,8000
2011,NISSAN,INFINITI,FX35,21,0,3.13,MPV,303,84,15000
2006,KIA,KIA,optima,143,45859,3.12,Car,161,80,4000
2007,KIA,KIA,optima,127,40914,3.1,Car,162,84,4000
2005,SUZUKI,SUZUKI,verona,23,7410,3.1,Car,155,70,3000
2008,ASTON MARTIN,ASTON MARTIN,DB9,1,323,3.1,Car,470,75,50000
2007,NISSAN,NISSAN,350z,49,15831,3.1,Car,306,80,12000
2005,HYUNDAI,HYUNDAI,accent,158,51121,3.09,Car,110,90,3000
2004,NISSAN,NISSAN,altima,273,88348,3.09,Car,175,83,5000
2012,GENERAL MOTORS,CHEVROLET,CAMARO,249,80707,3.09,Car,426,83,18000
2011,NISSAN,NISSAN,gt-r,1,326,3.07,Car,530,76,90000
2004,GENERAL MOTORS,CHEVROLET,CAVALIER,658,215275,3.06,Car,140,70,6000
2005,GENERAL MOTORS,CHEVROLET,AVEO,196,64250,3.05,Car,103,81,2500
2005,HYUNDAI,HYUNDAI,tiburon,46,15100,3.05,Car,172,80,5000
2005,GENERAL MOTORS,CHEVROLET,IMPALA,701,230633,3.04,Car,211,76,3500
2008,FORD MOTOR CO,FORD,MUSTANG,287,94476,3.04,Car,300,79,10000
2008,GENERAL MOTORS,CHEVROLET,COBALT,535,176456,3.03,Car,148,70,4000
2012,TOYOTA,TOYOTA,yaris,166,54886,3.02,Car,106,79,10000
2010,CHRYSLER,CHRYSLER,SEBRING,130,43022,3.02,Car,173,70,8000
2005,NISSAN,NISSAN,350z,82,27146,3.02,Car,287,80,10000
2013,GENERAL MOTORS,CHEVROLET,CAMARO,258,85584,3.01,Car,426,80,20000
2009,VOLVO,VOLVO,V 70,3,996,3.01,Car,235,86,8000
2008,NISSAN,NISSAN,pathfinder,76,25262,3.01,MPV,270,86,8000
2008,KIA,KIA,spectra,181,60253,3.0,Car,126,80,4000
2013,NISSAN,INFINITI,FX37/FX50,41,13669,3.0,MPV,325,77,25000
2007,NISSAN,INFINITI,FX35,40,13346,3.0,MPV,275,75,8000
2010,TOYOTA,LEXUS,SC,1,335,2.99,Car,288,79,40900
2012,NISSAN,NISSAN,pathfinder,47,15765,2.98,MPV,0,0,0
2013,AUDI,AUDI,S8,3,1015,2.96,Car,520,78,35000
2014,VOLVO,VOLVO,S 80,2,677,2.95,Car,240,83,19000
2007,GENERAL MOTORS,CADILLAC,DTS,140,47396,2.95,Car,275,75,5000
2005,MITSUBISHI,MITSUBISHI,eclipse,25,8471,2.95,MPV,210,74,8000
2005,FORD MOTOR CO,LINCOLN,LS,64,21743,2.94,Car,280,70,5000
2010,CHRYSLER,DODGE,AVENGER,197,67604,2.91,Car,173,75,9000
2009,GENERAL MOTORS,PONTIAC,G5,60,20623,2.91,Car,155,70,6000
2004,TOYOTA,SCION,XB,73,25098,2.91,Car,108,83,5000
2005,GENERAL MOTORS,CHEVROLET,COBALT,410,140975,2.91,Car,171,70,5000
2012,CHRYSLER,CHRYSLER,200,352,121175,2.9,Car,283,75,9000
2010,KIA,KIA,rio,55,18975,2.9,Car,110,85,5000
2008,GENERAL MOTORS,CHEVROLET,IMPALA,923,320116,2.88,Car,211,74,4000
2007,GENERAL MOTORS,CHEVROLET,IMPALA,769,267375,2.88,Car,211,80,5000
2008,SUZUKI,SUZUKI,forenza,61,21358,2.86,Car,127,74,4000
2014,BMW,BMW,7,28,9818,2.85,Car,315,76,51000
2005,NISSAN,INFINITI,QX56,36,12666,2.84,MPV,315,80,6500
2009,GENERAL MOTORS,PONTIAC,G6,281,99226,2.83,Car,252,78,12000
2005,NISSAN,NISSAN,maxima,209,73931,2.83,Car,265,85,5000
2013,HONDA,ACURA,ZDX,1,354,2.82,MPV,300,90,24000
2008,ISUZU,ISUZU,ascender,3,1063,2.82,MPV,285,80,12000
2006,MAZDA,MAZDA,6,190,67327,2.82,Car,215,83,4500
2013,FORD MOTOR CO,FORD,MUSTANG,214,75914,2.82,Car,305,88,22000
2008,VOLVO,VOLVO,S 40,33,11753,2.81,Car,168,84,6000
2005,NISSAN,NISSAN,altima,1035,368779,2.81,Car,0,0,0
2009,CHRYSLER,DODGE,CALIBER,125,44554,2.81,Car,173,72,7000
2004,KIA,KIA,optima,186,66397,2.8,Car,138,78,3000
2010,NISSAN,INFINITI,M35/M45,12,4287,2.8,Car,303,80,15000
2006,FORD MOTOR CO,FORD,MUSTANG,431,153977,2.8,Car,210,80,8000
2005,MAZDA,MAZDA,6,191,68252,2.8,Car,215,75,5000
2008,BMW,BMW,7,38,13599,2.79,Car,360,80,15000
2008,CHRYSLER,DODGE,NITRO,135,48377,2.79,MPV,210,72,8000
2005,SUZUKI,SUZUKI,reno,16,5736,2.79,Car,105,75,4000
2006,SUZUKI,SUZUKI,reno,22,7900,2.78,Car,0,0,0
2005,TOYOTA,SCION,XB,187,67396,2.77,Car,108,80,5000
2009,CHRYSLER,CHRYSLER,PT CRUISER,69,24876,2.77,MPV,150,75,7000
2004,FORD MOTOR CO,FORD,FOCUS,302,109050,2.77,Car,130,80,4000
2006,MITSUBISHI,MITSUBISHI,lancer,121,43750,2.77,Car,120,85,6000
2006,GENERAL MOTORS,CHEVROLET,AVEO,142,51353,2.77,Car,103,75,4000
2014,PORSCHE,PORSCHE,panamera,19,6895,2.76,Car,310,85,31500
2004,GENERAL MOTORS,CHEVROLET,IMPALA,743,269733,2.75,Car,0,0,0
2010,GENERAL MOTORS,CHEVROLET,HHR,178,64733,2.75,MPV,172,75,8000
2006,BMW,BMW,7,77,28012,2.75,Car,365,78,12000
2008,GENERAL MOTORS,CHEVROLET,MALIBU,423,155433,2.72,Car,219,81,6500
2006,SUBARU,SUBARU,legacy/outback,59,21696,2.72,Car,175,80,6500
2010,FORD MOTOR CO,LINCOLN,TOWN CAR,27,9937,2.72,Car,239,85,5000
2006,DAIMLERCHRYSLER,CHRYSLER,PACIFICA,224,82451,2.72,MPV,250,80,8000
2009,GENERAL MOTORS,CHEVROLET,IMPALA,499,183769,2.72,Car,211,78,5500
2011,KIA,KIA,rio,51,0,2.71,Car,110,78,8000
2011,PORSCHE,PORSCHE,panamera,22,0,2.7,Car,400,80,25000
2005,SUBARU,SUBARU,impreza,103,38390,2.68,Car,230,86,8000
2013,NISSAN,NISSAN,versa,151,56410,2.68,Car,109,83,10000
2006,MITSUBISHI,MITSUBISHI,eclipse,79,29582,2.67,Car,263,80,8000
2004,SUZUKI,SUZUKI,verona,44,16478,2.67,Car,155,79,3300
2010,MERCEDES-BENZ,MERCEDES-BENZ,cl-class,3,1124,2.67,Car,429,72,35000
2006,KIA,KIA,rio,91,34103,2.67,Car,110,82,4000
2006,GENERAL MOTORS,CADILLAC,DTS,173,65335,2.65,Car,275,79,7000
2007,KIA,KIA,spectra,171,64591,2.65,Car,128,78,3000
2004,BMW,BMW,7,43,16245,2.65,Car,325,78,8000
2010,BMW,BMW,7,15,5702,2.63,Car,400,80,20000
2005,GENERAL MOTORS,PONTIAC,GRAND PRIX,284,107972,2.63,Car,260,80,3000
2008,KIA,KIA,rio,92,35014,2.63,Car,110,75,5000
2009,NISSAN,INFINITI,FX35,35,13375,2.62,MPV,297,73,12000
2007,KIA,KIA,rio,83,31947,2.6,Car,110,74,4000
2005,FORD MOTOR CO,FORD,FOCUS,637,245780,2.59,Car,136,80,5000
2008,AUDI,AUDI,S8,1,386,2.59,Car,450,90,25000
2005,TOYOTA,TOYOTA,celica,11,4258,2.58,Car,180,90,8000
2009,CHRYSLER,DODGE,CHALLENGER,53,20526,2.58,Car,425,84,25000
2008,GENERAL MOTORS,PONTIAC,G5,52,20185,2.58,Car,148,72,5000
2004,GENERAL MOTORS,CADILLAC,SEVILLE,16,6222,2.57,Car,275,80,5000
2009,NISSAN,NISSAN,pathfinder,13,5076,2.56,MPV,266,79,10000
2005,BMW,BMW,m3,14,5471,2.56,Car,333,78,25000
2014,KIA,KIA,rio,77,30113,2.56,Car,138,74,14000
2006,BMW,BMW,m5,11,4309,2.55,Car,500,75,25000
2004,ISUZU,ISUZU,rodeo,43,16863,2.55,MPV,210,80,6000
2013,CHRYSLER,CHRYSLER,200,340,133344,2.55,Car,283,78,12000
2014,FORD MOTOR CO,FORD,MUSTANG,307,120845,2.54,Car,420,85,25000
2012,MERCEDES-BENZ,MERCEDES-BENZ,s-class,29,11443,2.53,Car,429,75,25000
2005,GENERAL MOTORS,PONTIAC,GTO,28,11065,2.53,Car,400,80,25000
2007,MITSUBISHI,MITSUBISHI,eclipse,107,42300,2.53,Car,263,85,6800
2004,NISSAN,NISSAN,maxima,301,119146,2.53,Car,265,84,5000
2010,HYUNDAI,HYUNDAI,sonata,195,77219,2.53,Car,198,80,7000
2009,BMW,BMW,m6,1,397,2.52,Car,500,75,25000
2010,HYUNDAI,HYUNDAI,accent,139,55245,2.52,Car,110,82,6000
2006,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,373,148522,2.51,MPV,291,90,8000
2007,FORD MOTOR CO,FORD,FOCUS,576,229738,2.51,Car,136,86,4000
2005,ROLLS ROYCE,ROLLS ROYCE,phantom,1,399,2.51,Car,453,70,80000
2005,FORD MOTOR CO,FORD,MUSTANG,362,145599,2.49,Car,210,75,10000
2008,GENERAL MOTORS,CHEVROLET,AVEO,139,56070,2.48,Car,103,77,4500
2014,GENERAL MOTORS,CHEVROLET,SS,7,2826,2.48,Car,415,70,35000
2011,CHRYSLER,DODGE,CHALLENGER,60,0,2.48,Car,370,80,25000
2004,TOYOTA,TOYOTA,celica,21,8483,2.48,Car,140,75,5000
2007,GENERAL MOTORS,CHEVROLET,AVEO,166,67104,2.47,Car,103,75,5000
2009,CHRYSLER,DODGE,NITRO,26,10539,2.47,MPV,0,0,0
2007,HYUNDAI,HYUNDAI,sonata,302,123439,2.45,Car,162,70,4000
2004,DAIMLERCHRYSLER,CHRYSLER,PT CRUISER,255,104558,2.44,MPV,150,80,5000
2004,BMW,BMW,m3,21,8632,2.43,Car,333,80,15000
2012,NISSAN,NISSAN,altima,760,313956,2.42,Car,175,85,12000
2007,VOLVO,VOLVO,S 40,53,21905,2.42,Car,168,80,6500
2009,NISSAN,NISSAN,maxima,141,58278,2.42,Car,290,85,10000
2006,FORD MOTOR CO,LINCOLN,TOWN CAR,97,40317,2.41,Car,239,80,6400
2013,MERCEDES-BENZ,MERCEDES-BENZ,cls-class,14,5821,2.41,Car,402,85,35000
2005,MITSUBISHI,MITSUBISHI,outlander,36,14983,2.4,MPV,220,80,5000
2007,HYUNDAI,HYUNDAI,elantra,192,80133,2.4,Car,125,87,5000
